img_name,img_label,rating
9ewqL9-h5gi1sKrQsmQh5g,food,3.0
HaRFPZnsAwDE6M_qN2Nptw,food,4.0
kR5MkbijRL3lAlX9fkXKsg,food,3.5
W01C8GQUh3T78aNbfOSnxg,food,2.5
RlGitccE6VWo7PPHmUFAbw,food,4.0
pobiaWT-leMIV-p26Ol2nA,food,4.0
AMSyCOP3-Eb_ivNA8w1Vhw,food,4.5
A3KmdcCuh5DkGTz1ihqfeQ,food,4.5
A5R7drZyq4lflVDf3SKpiA,food,5.0
76BYeVaeU435vRhtRcZRkQ,food,1.5
fAGhdufgfc97fErw_ek_3Q,food,4.0
nVWIjnOTmPtHzV8mm1zdHQ,food,4.0
RFKYrOOQdlb0KuQNljJNOg,food,4.5
MWAzo_HuKYvSwIERXX4Njg,food,3.0
gGzd8RW7F8nG9CTJgNVSyw,food,4.0
nn-cfcN0r77GcS2HOy9R_w,food,2.5
KLCatA1ci0eFlOZYZtPBIQ,food,4.5
P-XxtNOUR3xpal6ZKdHSLw,food,4.0
YGmezh7Ip-RyQDv2TlvyRA,food,3.0
FgV-SIrZNO9I3okAuWiznQ,food,5.0
5Aer9GojZekdol2N5y3gog,food,4.0
6VJRyOIjrHxUCGqK-OGZDw,food,4.0
G0p5Uh1BBFdGwTAzCAXjfQ,food,3.0
BubaSf4KQF77Hm6Ra4d4zQ,food,4.5
gyDp4ol6UYYZpvOcNl1UqQ,food,1.5
QAsNzccbZOoab8c7xpOwWw,food,4.0
D5Q9k3V1gmux7Rs5QxEOKw,food,4.0
VPyuLHJG-jZsTYmZMXPqKg,food,3.0
TspUuRcd724kDNsgLE_O9g,food,4.5
5ToAl52zj5mJofNE4WD9-A,food,1.5
SAgqqv40FP8JGbUsE-Y6WQ,food,4.0
85ejDR0dUkwh6nDCh9Frcw,food,4.5
zmSOPhUIVjOhFbiqwRgP1Q,food,3.0
nB2Qx2vX0dit2Lzqfjxj0A,food,4.0
gq06isD_uc4MS1kZWVKQQA,food,2.0
KdqdI_-eE32N4tQ0DS1gDA,food,4.0
gmbWSfCxFzvWEhaUS3bXLg,food,4.0
EdV7VWlDyhpQNGz60N1-dA,food,4.5
FUyKtPNQs1PivcIR-OyJhg,food,3.5
DRki4aovxHp-BIP9--JPGg,food,4.0
5v8SpIqhQvmwpZeqGeaVJA,food,3.5
fEJtUVEnCdoOAy5xqx-CCw,food,4.0
879lVxzDt8KUnqm1_eb2PQ,food,4.0
sCfbkDSvdoDJbGm5bGofGg,food,4.0
EVOt-Rs9jc5YK2toD8KNBA,food,4.0
y8yBGAT6YktWtNEyJe4dpQ,food,4.5
h70Tpbp_5xiA3ZDP59whEA,food,4.0
KYEmXs72M_83FnruFFhZ5A,food,1.5
UY3UEcU2hmyo_YZ4bNQvQw,food,3.5
T9ctXFzP6mVPP3CVYTwQyw,food,4.0
4PDFSu23FVccZh9QASnNLQ,food,4.5
YVjFu0YfKjfZRQAoIE9Omg,food,4.0
5pVy4iQOhoA0hEpLQV0QUQ,food,4.5
QqlvesBrCwHrLJCv4ET6Jg,food,4.5
vXiZgeHNvYMQ_IA7b9ghCw,food,4.5
0CYbeV4BWrKVglBjXhHSOA,food,5.0
6wOnVoi8Tm0zjAitWBS1Qw,food,4.5
jFERI8pU-PN4rYDjnUPV-w,food,4.0
vlr2fZqhDQapf6sTtwmsbQ,food,3.0
mB2ApU52yakm4ckZTNu2Yw,food,4.0
l4Ls103W-oz_IFtj8XjZ1g,food,3.0
YXvj0W1rHhhWq1It51b-bA,food,4.0
wElGMavngtR1w1YA87mcFg,food,4.5
Irk6Qn5sXvemL5HsAvnjcw,food,3.5
j0sVFsQDDgklS0ap5t8-BQ,food,3.0
PAOjPueozYl7Ju77e_knKA,food,4.5
nx2UaNcrHtk74zwC4xQ38w,food,5.0
0I6DOFmpgiLGICy1N1ncmA,food,4.0
XCHb-rnvr1q5O9Y_lbwFZg,food,4.5
VSgHGiP7B2AWiYBpRyZdrA,food,4.5
w9cZKWsWeYAnbZS8u5kPoA,food,4.0
9sWmnq2L-YohBYzJo6sihQ,food,4.0
r7pxt3pqtiVoebZBXt09nQ,food,3.5
QB8qN4CqhT-jQZTd-JoC_Q,food,4.0
-yjJAIJgeLqYvKtzyWsJ8g,food,2.0
mf7qIYTcaFUsq7XD6MGaiQ,food,3.0
shpMZfdeat1kM3EWYPLCJQ,food,4.5
vAZouUuMTQAxnazM_bFxdw,food,4.5
TRA-7Zbr9CLwQqmS13xYDg,food,4.0
qYsLcPL3_Ui4NC8TYXvNnA,food,4.5
_uSkt6cjzI8it_ikdiveIw,food,2.0
qD7kR0vrbuVkEmzXmApN8g,food,4.5
KXNh-soZWMgL_3mGwsAuzw,food,1.5
Qx8rnfCd4ihrT62bH3Ks1Q,food,3.0
37nscYPP7n73FZxTi9X5Mg,food,4.0
3DpcB6eVLjwt_zOfjbtXng,food,4.0
i8Qr_h6DE5JwrGWYG23gkg,food,4.0
yBs0KZvDQCSKeW6-B7zvag,food,4.5
KYEhqI9AJqPkxCAPoG-dCA,food,2.0
uM9B75XPbRx-BLtqspEhQQ,food,4.5
WVArFiPMc7VvQsuHJ8a0rg,food,2.5
qY6Vs8gfBZmPqjMkIQs6CQ,food,3.5
KqYbvF5osPSj9gvRV1D3ug,food,4.0
ZmHA4xpQmGYUddPgny_0hA,food,3.5
3nb3vUKqqE9EaODToVRcRQ,food,4.0
F22gebsPQXOlYwjSlEnKVQ,food,4.5
_Jd-dCObbNgn0aAjMLiwOg,food,2.0
Ofw6ZGaulGfoitCi6miq2g,food,4.5
CtSSY5hz7vRph0rGVyOcew,food,3.5
0yqU_GwmSGQzNh-lrNrI8Q,food,3.5
NiNCvnqeSsMdaE7671NWjQ,food,3.0
htjUx5bcwmZEWNTlgw4xyw,food,4.0
L4xuXjgQdkjeB2uGnGNwQA,food,4.0
kjyPlzlNqacxBVTq_qjsgQ,food,5.0
I6hNuJdWddLctmwpf-gnaw,food,3.0
hQYjWn5QinVLzE53gflhRA,food,4.5
UW1nBJ-392C7GlfC4rGWrQ,food,4.0
r8G0W4rK_B9riMLWIdjgsA,food,2.5
--sjRzdzdmVEHosmrOVUXg,food,4.5
GIgG2KSVypmLuf45CNNLxA,food,4.0
CVqWQxiq-l4SavUalkQXng,food,3.5
CMQsAYlVb-T9rzWKWmqCiA,food,4.0
EZbWBGKQyBuZX3egUXjKXw,food,4.5
yaWOYGU8sTncBBc60XPc8w,food,4.5
i_9VgPCLci0K7g5ODIV89w,food,3.5
3hHEvXQG6juXh_BD6x1R1g,food,4.0
WzdEQbkDXoTG_eUKJLY0IA,food,4.0
hwE8DUZcTXclPk78HFzS7A,food,3.0
kgWTUYmjDiBi6XUNzoasCg,food,2.5
uRp-JL8BPG0ioR7VYi1T3Q,food,4.5
M2Mkgl7pG-TPjlucuGN2vA,food,1.5
eCt-tIAJCHlWMnS2LbWVLA,food,3.5
fn993aT2_y4Rjbsz_8mhAA,food,4.5
qAlE2J3UUHcvuFefeAEpQQ,food,4.0
QG5Gl7K_tkOwXEiIuD8XYg,food,4.0
kvd6WOsobGXB8FTTGAjQNw,food,4.0
2UXur_q13_07crEWeYovUw,food,3.5
EUyeaALozDc5lf5q4eCp4Q,food,3.5
qobtIHW3M5FDcdbMPTvlLw,food,3.5
LEfHnDNCjSPvD9NyRA_Uvg,food,2.0
_hPuT7iCX1H0YcyEqc50Pw,food,4.5
HKC34NTFOOZcX9z97-dH3Q,food,4.5
yMy6I1_fGFsi4ofkcsVgrw,food,4.0
kN930LqHoos24b5qFcvDKQ,food,3.5
Vy_3RK8Q7-9-FNFmZGBo2g,food,4.5
ZC1ZoJWB35Yc8L4qdFijhA,food,3.5
cHuQzrllCWrV4sssL5UJtQ,food,4.0
bGpCjlPY8ptl_slI0dKQkw,food,4.0
-p9-9eKenVVI0dREnTQMmQ,food,4.0
mDL60kb3FcmaewZTjSPmjA,food,4.0
3-eO1AJDvSlNqwvpzitKxw,food,4.0
yfuCU5ClnlYPemqCsZzIXw,food,4.5
Y6PSK70nT2CqSjkEzSQuYQ,food,3.0
4HHsPbxw7xNQe91fXW4WUQ,food,3.0
ffyi3DiCjh9qdGiZhZBAoQ,food,4.5
KORmHKjBo6kRCMLOtFeo3w,food,3.5
D37OTMNd5DnsFUv-cPqlhw,food,5.0
a2C1OhREaYKSpnqCzM0y5w,food,4.0
1Mic7JDNcRTfIxD0Z4QczA,food,4.5
l2A4bV--_ObIOiQnp9Kphw,food,3.5
Wnv0KIPCnSKkEg2WdlZCIw,food,2.5
mB3DPvRVTJIMEfOJzFu3Og,food,4.0
pXUwjO1cnIpohn9Ypqumwg,food,4.0
0Hixf6arLfKXLnwul0zAww,food,4.5
tCIKpNatTjpadPKe3ca2QA,food,2.5
